Timestamp,Phase A Voltage V,Phase A current A,Phase A Active Power W,Phase A Power Factor,Phase A Energy Consumed Kw.h,Phase B Voltage V,Phase B current A,Phase B Active Power W,Phase B Power Factor,Phase B Energy Consumed Kw.h,Phase C Voltage V,Phase C current A,Phase C Active Power W,Phase C Power Factor,Phase C Energy Consumed Kw.h,Total Energy Consumed Kw.h,Total Current A,Total Active Power,Frequency,id1,id2,id3,err,elapsed time
09/10/24 09:08:14,242.8,0.0,0.0,0.0,0.0,241.7,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,281.0,0.0,0.0,0,0
09/10/24 09:08:15,242.8,0.0,0.0,0.0,0.0,241.7,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,281.0,0.0,0.0,0,0.1003425121307373
09/10/24 09:08:16,242.8,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,281.0,0.0,0.0,2,0.04546093940734863
09/10/24 09:08:17,242.8,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,281.0,0.0,0.0,0,0.040242910385131836
09/10/24 09:08:18,242.8,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,281.0,0.0,0.0,0,0.05080747604370117
09/10/24 09:08:19,242.8,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,281.0,0.0,0.0,0,0.050881147384643555
09/10/24 09:08:20,243.0,0.0,0.0,0.0,0.0,242.2,0.0,0.0,0.0,0.0,242.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,281.0,0.0,0.0,3,0.047594308853149414
09/10/24 09:08:21,243.0,0.0,0.0,0.0,0.0,242.2,0.0,0.0,0.0,0.0,242.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,281.0,0.0,0.0,0,0.04380345344543457
09/10/24 09:08:22,242.9,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,281.0,0.0,0.0,3,0.044989824295043945
09/10/24 09:08:23,242.9,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,281.0,0.0,0.0,0,0.0465090274810791
09/10/24 09:08:24,242.9,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,281.0,0.0,0.0,0,0.047983646392822266
09/10/24 09:08:25,242.9,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,281.0,0.0,0.0,0,0.047072649002075195
09/10/24 09:08:26,242.9,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,281.0,0.0,0.0,0,0.04542899131774902
09/10/24 09:08:27,242.9,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,289.0,0.0,0.0,1,0.05341815948486328
09/10/24 09:08:28,242.9,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,289.0,0.0,0.0,0,0.03087902069091797
09/10/24 09:08:29,242.9,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,289.0,0.0,0.0,0,0.04754638671875
09/10/24 09:08:30,242.9,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,289.0,0.0,0.0,0,0.05193281173706055
09/10/24 09:08:31,242.9,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,289.0,0.0,0.0,0,0.058439016342163086
09/10/24 09:08:32,243.0,0.0,0.0,0.0,0.0,241.9,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,289.0,0.0,0.0,2,0.05937671661376953
09/10/24 09:08:33,243.0,0.0,0.0,0.0,0.0,241.9,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,289.0,0.0,0.0,0,0.043547630310058594
09/10/24 09:08:34,243.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,289.0,0.0,0.0,1,0.04514789581298828
09/10/24 09:08:35,243.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,289.0,0.0,0.0,0,0.03197813034057617
09/10/24 09:08:36,243.1,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,242.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,289.0,0.0,0.0,3,0.05017733573913574
09/10/24 09:08:37,243.1,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,242.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,289.0,0.0,0.0,0,0.04939532279968262
09/10/24 09:08:38,243.1,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,242.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,289.0,0.0,0.0,0,0.04688119888305664
09/10/24 09:08:39,243.1,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,242.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,281.0,0.0,0.0,1,0.040247201919555664
09/10/24 09:08:40,243.1,0.0,0.0,0.0,0.0,242.1,0.0,0.0,0.0,0.0,242.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,281.0,0.0,0.0,0,0.04651951789855957
09/10/24 09:08:41,243.0,0.0,0.0,0.0,0.0,241.7,0.0,0.0,0.0,0.0,242.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,281.0,0.0,0.0,2,0.049507856369018555
09/10/24 09:08:42,243.0,0.0,0.0,0.0,0.0,241.7,0.0,0.0,0.0,0.0,242.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,281.0,0.0,0.0,0,0.044709205627441406
09/10/24 09:08:43,243.0,0.0,0.0,0.0,0.0,241.7,0.0,0.0,0.0,0.0,242.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,281.0,0.0,0.0,0,0.046483755111694336
